origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.01,1218.1641136429284
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.025,1394.5293230551824
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.05,1566.48808316497
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.1,1791.2041773676176
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.15,1960.7489975889846
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.2,2106.8651678004976
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.25,2240.8632819443674
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.3,2368.442018410079
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.35,2493.1347483073055
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.4,2617.5182006495293
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.45,2743.7615148117084
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.5,2873.944221022339
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.55,3010.301429791703
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.6,3155.48150619672
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.65,3312.896444287604
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.7,3487.2914246350115
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.75,3685.8012160051294
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.8,3920.1731377554697
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.85,4212.232316747923
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.9,4610.809512758636
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.95,5271.961474323292
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.975,5921.701972248649
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.99,6778.484551339491
2026-02-25,ILI incidence,2026-02-22,1,AT,median,,2873.944221022339
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.01,1186.8726605056172
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.025,1365.0672033632982
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.05,1539.5623743313595
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.1,1768.5827249640597
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.15,1942.040466254349
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.2,2091.9466652507904
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.25,2229.736977770979
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.3,2361.1910864138513
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.35,2489.908030269217
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.4,2618.5273050985293
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.45,2749.285629527502
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.5,2884.341797122203
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.55,3026.03006438304
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.6,3177.129607588592
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.65,3341.2339103064346
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.7,3523.353865401821
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.75,3731.038949091689
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.8,3976.7398174753803
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.85,4283.623728022032
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.9,4703.610397001627
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.95,5402.998841548827
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.975,6093.2809151142
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.99,7007.493050658121
2026-02-25,ILI incidence,2026-03-01,2,AT,median,,2884.341797122203
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.01,1157.2071606266861
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.025,1337.027984638154
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.05,1513.8601896351777
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.1,1746.9309862051737
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.15,1924.1197862650818
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.2,2077.6681196914938
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.25,2219.1233017175364
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.3,2354.339636371024
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.35,2486.9783329919546
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.4,2619.739622556416
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.45,2754.92665526325
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.5,2894.776977286856
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.55,3041.7240457107146
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.6,3198.6785296835014
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.65,3369.4169328920398
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.7,3559.218735631926
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.75,3776.0534166716693
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.8,4033.0852023213506
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.85,4354.845471025642
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.9,4796.40010810719
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.95,5534.510378818571
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.975,6266.076921004994
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.99,7239.090190469319
2026-02-25,ILI incidence,2026-03-08,3,AT,median,,2894.776977286856
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.01,1129.0116404743787
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.025,1310.2771522810917
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.05,1489.2667598726953
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.1,1726.15817699181
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.15,1906.9129457525664
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.2,2063.969115022915
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.25,2208.9736537251365
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.3,2347.849779118487
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.35,2484.317765217664
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.4,2621.1368073763665
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.45,2760.6755344285502
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.5,2905.2498975158496
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.55,3057.392762478741
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.6,3220.1471358208823
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.65,3397.4742655517753
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.7,3594.9253511651746
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.75,3820.8955472947896
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.8,4089.2735083847256
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.85,4425.977910923128
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.9,4889.280797281572
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.95,5666.63528130521
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.975,6440.268691456852
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.99,7473.514566296978
2026-02-25,ILI incidence,2026-03-15,4,AT,median,,2905.2498975158496
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.01,153.55821331901691
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.025,185.01351523465615
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.05,217.14135785706532
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.1,261.12817280161715
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.15,295.7139589275509
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.2,326.42799453449845
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.25,355.2996347407008
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.3,383.3905695665614
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.35,411.3942660711325
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.4,439.8511631509057
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.45,469.2511534737336
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.5,500.09863307011346
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.55,532.9696419878354
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.6,568.5796247197003
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.65,607.8829567320532
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.7,652.241416270634
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.75,703.743467524113
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.8,765.8856794658712
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.85,845.2690497350274
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.9,956.9277091088284
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.95,1150.0877283035268
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.975,1348.9010528776557
2026-02-25,ILI incidence,2026-02-22,1,BE,quantile,0.99,1623.6295468391054
2026-02-25,ILI incidence,2026-02-22,1,BE,median,,500.09863307011346
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.01,126.80185250841092
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.025,157.79331168224627
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.05,190.39525086312386
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.1,236.37394860013865
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.15,273.48482543940935
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.2,307.0750483954895
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.25,339.1501164959076
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.3,370.7907787082345
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.35,402.7320281902238
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.4,435.5749053610299
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.45,469.8914942130413
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.5,506.2965481547792
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.55,545.5161102555904
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.6,588.4745314253381
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.65,636.427228459815
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.7,691.1898081063263
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.75,755.5770972559712
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.8,834.3477151430419
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.85,936.5738252844242
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.9,1083.1534603414518
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.95,1343.5986073802712
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.975,1619.6588617833263
2026-02-25,ILI incidence,2026-03-01,2,BE,quantile,0.99,2012.6624213081534
2026-02-25,ILI incidence,2026-03-01,2,BE,median,,506.2965481547792
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.01,107.32730061895141
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.025,137.41452701417901
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.05,169.8949273559305
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.1,216.91020783358144
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.15,255.73825282128655
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.2,291.47477895698154
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.25,326.072724494914
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.3,360.6171623838149
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.35,395.87641572990765
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.4,432.5077632831032
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.45,471.1639319842891
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.5,512.5711231001222
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.55,557.6095858145666
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.6,607.421165251601
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.65,663.5779089625178
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.7,728.3771588262597
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.75,805.411781629386
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.8,900.8052750494262
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.85,1026.3315159853441
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.9,1209.3852366739593
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.95,1542.3769893765511
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.975,1904.5463625960456
2026-02-25,ILI incidence,2026-03-08,3,BE,quantile,0.99,2433.7998793960346
2026-02-25,ILI incidence,2026-03-08,3,BE,median,,512.5711231001222
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.01,92.40036620574983
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.025,121.39791481057786
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.05,153.44234095261578
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.1,200.9315110266935
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.15,240.97141906241052
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.2,278.38369078837826
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.25,315.0577314956302
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.3,352.0772821607925
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.35,390.241309054047
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.4,430.2627535025769
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.45,472.8763432156054
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.5,518.9233060853542
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.55,569.444691069404
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.6,625.8110148981592
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.65,689.9297100153149
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.7,764.6121134625145
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.75,854.2875543703076
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.8,966.559142224524
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.85,1116.1577422579917
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.9,1337.6729135849978
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.95,1749.2988011147877
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.975,2207.5363515307477
2026-02-25,ILI incidence,2026-03-15,4,BE,quantile,0.99,2893.2096823822053
2026-02-25,ILI incidence,2026-03-15,4,BE,median,,518.9233060853542
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.01,53.93411930873054
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.025,64.68813038511762
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.05,75.60650631727145
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.1,90.46549408839535
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.15,102.0868266353804
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.2,112.36738113661816
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.25,122.00051213048313
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.3,131.34700010300068
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.35,140.64074289277497
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.4,150.06234743256357
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.45,159.77392889875424
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.5,169.9409071025777
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.55,180.75082192246236
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.6,192.43532136025289
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.65,205.30217777926273
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.7,219.78924114872788
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.75,236.566439479973
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.8,256.753098184727
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.85,282.45807776590607
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.9,318.4734146716809
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.95,380.4401037952579
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.975,443.8413061802168
2026-02-25,ILI incidence,2026-02-22,1,CH,quantile,0.99,530.9243138645916
2026-02-25,ILI incidence,2026-02-22,1,CH,median,,169.9409071025777
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.01,46.472825825122655
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.025,57.37911032990202
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.05,68.74307328415118
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.1,84.61660743488372
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.15,97.32055137553837
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.2,108.74859883525234
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.25,119.60581468366593
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.3,130.26831496984644
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.35,140.9884015202799
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.4,151.9691152052469
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.45,163.40068016356938
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.5,175.4847637508938
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.55,188.45707405358309
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.6,202.61542782291284
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.65,218.36208523173036
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.7,236.27638953363206
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.75,257.2534840289682
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.8,282.8019999049328
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.85,315.78902732392527
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.9,362.79474461070834
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.95,445.5944841476718
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.975,532.5276892744156
2026-02-25,ILI incidence,2026-03-01,2,CH,quantile,0.99,655.0989638776853
2026-02-25,ILI incidence,2026-03-01,2,CH,median,,175.4847637508938
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.01,38.637848200481436
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.025,49.401415565781505
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.05,60.96901327641494
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.1,77.63749193406784
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.15,91.34859661172833
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.2,103.93144197644888
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.25,116.08426769268307
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.3,128.19283895261972
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.35,140.52831189437828
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.4,153.3208082655405
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.45,166.79719597269784
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.5,181.20841555204925
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.55,196.85733906656117
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.6,214.1356454850927
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.65,233.58137989213878
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.7,255.97946548077647
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.75,282.5556591183515
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.8,315.3961732789276
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.85,358.5063478611854
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.9,421.1892875961012
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.95,534.7501264365615
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.975,657.7098065659952
2026-02-25,ILI incidence,2026-03-08,3,CH,quantile,0.99,836.5809536902418
2026-02-25,ILI incidence,2026-03-08,3,CH,median,,181.20841555204925
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.01,31.132322943431454
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.025,41.44398594912172
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.05,52.92305684332605
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.1,70.06108171747199
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.15,84.60496861775907
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.2,98.25893844570315
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.25,111.69590211772173
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.3,125.3060634761075
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.35,139.38096491025289
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.4,154.18426168822086
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.45,169.99074211190978
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.5,187.1176935185752
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.55,205.96013233036754
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.6,227.04030659917566
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.65,251.0873584062676
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.7,279.1786837529203
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.75,313.0155582390403
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.8,355.5247338818435
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.85,412.390334534942
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.9,496.9978598615616
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.95,655.2733770373869
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.975,832.7639791222501
2026-02-25,ILI incidence,2026-03-15,4,CH,quantile,0.99,1100.3292340254764
2026-02-25,ILI incidence,2026-03-15,4,CH,median,,187.1176935185752
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.01,13.994638223185099
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.025,16.85558307902939
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.05,19.749084489358413
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.1,23.671699929401502
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.15,26.729130295614564
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.2,29.427098897777345
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.25,31.949983611039784
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.3,34.393399154163326
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.35,36.819043889238664
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.4,39.2742813208687
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.45,41.801359023749725
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.5,44.44313500600178
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.55,47.2479660991098
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.6,50.275366100788865
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.65,53.604196902008894
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.7,57.34643093133905
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.75,61.67312735420623
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.8,66.86971462877636
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.85,73.47325239408259
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.9,82.70231986782275
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.95,98.52624754276843
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.975,114.65449921369691
2026-02-25,ILI incidence,2026-02-22,1,CZ,quantile,0.99,136.72112994234342
2026-02-25,ILI incidence,2026-02-22,1,CZ,median,,44.44313500600178
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.01,9.623588396607598
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.025,12.253421984476295
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.05,15.030318995154836
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.1,18.96139900024831
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.15,22.144878018820926
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.2,25.03333596852362
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.25,27.797020965162343
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.3,30.52805989119033
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.35,33.28945588093926
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.4,36.13306039305521
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.45,39.108534122313685
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.5,42.26952080539963
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.55,45.67962745831982
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.6,49.420068017853666
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.65,53.60137475583724
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.7,58.383654978784854
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.75,64.01545534845076
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.8,70.91746125016839
2026-02-25,ILI incidence,2026-03-01,2,CZ,quantile,0.85,79.89268948431857
